ksp_type,pc_type,mean,sd,ci
cg,bjacobi,2.16,0.04,0.02
cg,jacobi,3.16,0.05,0.03
cg,sor,2.56,0.05,0.02
cg,mg,3.03,0.05,0.03
gmres,bjacobi,27.11,0.52,0.26
gmres,jacobi,32.04,0.59,0.29
gmres,sor,47.10,0.79,0.39
gmres,mg,25.50,0.98,0.48
fcg,bjacobi,3.32,0.05,0.02
fcg,jacobi,6.35,0.10,0.05
fcg,sor,3.97,0.06,0.03
fcg,mg,3.81,0.05,0.02
tcqmr,bjacobi,14.04,0.16,0.08
tcqmr,jacobi,33.78,0.46,0.23
tcqmr,sor,10.13,0.16,0.08
tcqmr,mg,9.63,0.16,0.08
cgs,bjacobi,3.06,0.04,0.02
cgs,jacobi,5.48,0.08,0.04
cgs,sor,3.79,0.08,0.04
cgs,mg,4.27,0.08,0.04
bcgs,bjacobi,3.04,0.06,0.03
bcgs,jacobi,5.00,0.09,0.04
bcgs,sor,3.65,0.06,0.03
bcgs,mg,4.44,0.07,0.04
tfqmr,bjacobi,3.13,0.05,0.02
tfqmr,jacobi,5.84,0.14,0.07
tfqmr,sor,3.92,0.06,0.03
tfqmr,mg,4.29,0.09,0.04
cr,bjacobi,2.05,0.04,0.02
cr,jacobi,3.26,0.05,0.02
cr,sor,2.65,0.05,0.02
cr,mg,3.06,0.05,0.02
gcr,bjacobi,38.98,0.80,0.39
gcr,jacobi,42.64,0.61,0.30
gcr,sor,40.24,0.63,0.31
gcr,mg,29.75,0.61,0.30
