ksp_type,pc_type,speedup
cg,bjacobi,1.69
cg,jacobi,4.03
cg,sor,1.34
cg,mg,1.23
gmres,bjacobi,1.00
gmres,jacobi,0.85
gmres,sor,0.67
gmres,mg,0.88
fcg,bjacobi,1.58
fcg,jacobi,3.84
fcg,sor,1.27
fcg,mg,1.20
tcqmr,bjacobi,0.46
tcqmr,jacobi,0.26
tcqmr,sor,0.22
tcqmr,mg,0.46
cgs,bjacobi,4.19
cgs,jacobi,0.48
cgs,sor,2.93
cgs,mg,1.06
bcgs,bjacobi,1.46
bcgs,jacobi,2.74
bcgs,sor,1.12
bcgs,mg,0.99
tfqmr,bjacobi,1.43
tfqmr,jacobi,0.23
tfqmr,sor,1.09
tfqmr,mg,1.09
cr,bjacobi,1.70
cr,jacobi,4.00
cr,sor,1.38
cr,mg,1.24
gcr,bjacobi,1.26
gcr,jacobi,0.95
gcr,sor,0.88
gcr,mg,1.16
