ksp_type,pc_type,response,min1,min5,min15,proc
fcg,mg,9.2414,37.9,38.12,37.95,2/3443
tcqmr,mg,24.675,38.24,38.14,37.96,1/3444
cgs,mg,9.6844,35.97,37.63,37.79,1/3445
bcgs,mg,10.215,35.87,37.51,37.75,1/3445
tfqmr,mg,9.7549,34.28,37.04,37.59,1/3446
cr,mg,6.5827,33.76,36.82,37.51,3/3445
gcr,mg,78.001,38.94,37.49,37.67,2/3445
cg,bjacobi,4.438,35.36,36.73,37.41,3/3447
gmres,bjacobi,75.035,39.41,37.56,37.64,2/3447
fcg,bjacobi,7.9972,38.65,37.46,37.61,2/3446
tcqmr,bjacobi,21.482,37.25,37.15,37.49,1/3446
cgs,bjacobi,6.923,37.02,37.08,37.47,2/3445
bcgs,bjacobi,7.0135,36.4,36.92,37.4,7/3448
tfqmr,bjacobi,7.2066,34.32,36.43,37.24,1/3448
cr,bjacobi,4.2607,33.8,36.24,37.17,3/3447
gcr,bjacobi,103.0,40.27,37.65,37.56,2/3446
cg,jacobi,7.3636,39.16,37.51,37.51,4/3446
gmres,jacobi,87.472,40.4,38.28,37.79,3/3446
fcg,jacobi,16.665,39.39,38.18,37.76,2/3446
tcqmr,jacobi,135.0,42.06,39.53,38.31,1/3445
cgs,jacobi,13.67,37.43,38.69,38.07,2/3449
bcgs,jacobi,11.978,36.72,38.45,38.0,2/3447
tfqmr,jacobi,14.911,36.72,38.26,37.95,2/3446
cr,jacobi,7.9863,36.45,38.11,37.9,2/3448
gcr,jacobi,116.73,38.64,38.64,38.13,4/3447
cg,sor,5.8975,37.53,38.39,38.06,2/3445
gmres,sor,124.8,39.26,38.95,38.31,2/3448
fcg,sor,9.5643,38.27,38.73,38.25,1/3448
tcqmr,sor,89.296,38.05,38.86,38.36,2/3443
cgs,sor,9.7203,37.36,38.64,38.29,1/3443
bcgs,sor,8.8249,36.74,38.42,38.23,1/3445
tfqmr,sor,9.3548,33.37,37.58,37.95,2/3446
cr,sor,5.7819,32.99,37.35,37.87,1/3446
gcr,sor,108.63,39.99,38.43,38.2,2/3444
cg,mg,6.4951,38.64,38.19,38.12,1/3444
gmres,mg,66.281,38.33,38.25,38.15,1/3446
fcg,mg,8.7518,37.55,38.06,38.09,2/3449
tcqmr,mg,24.691,34.98,37.44,37.89,2/3446
cgs,mg,10.048,34.74,37.24,37.81,1/3445
bcgs,mg,10.161,34.7,37.09,37.75,1/3445
tfqmr,mg,9.6634,32.7,36.4,37.51,1/3443
cr,mg,7.1987,31.65,35.99,37.36,1/3443
gcr,mg,78.089,38.18,36.96,37.58,2/3443
cg,bjacobi,4.6177,37.15,36.77,37.51,1/3444
gmres,bjacobi,74.849,37.65,37.09,37.56,2/3444
fcg,bjacobi,8.0123,35.36,36.61,37.39,1/3445
tcqmr,bjacobi,21.89,34.99,36.41,37.3,1/3443
cgs,bjacobi,6.9212,34.44,36.24,37.23,1/3449
bcgs,bjacobi,6.7712,34.5,36.16,37.19,1/3449
tfqmr,bjacobi,7.2209,34.64,36.09,37.15,1/3448
cr,bjacobi,4.2605,31.72,35.39,36.91,1/3447
gcr,bjacobi,103.29,38.75,36.97,37.31,1/3446
cg,jacobi,7.2946,34.84,36.21,37.06,2/3445
gmres,jacobi,86.788,39.69,37.35,37.38,1/3446
fcg,jacobi,17.483,37.76,37.01,37.27,6/3446
tcqmr,jacobi,133.5,37.82,37.88,37.58,1/3449
cgs,jacobi,14.613,37.56,37.78,37.55,1/3447
bcgs,jacobi,13.216,37.22,37.66,37.51,1/3445
tfqmr,jacobi,15.26,34.4,37.0,37.3,2/3447
cr,jacobi,7.6079,31.68,36.29,37.07,1/3448
gcr,jacobi,116.17,40.05,37.86,37.54,1/3448
cg,sor,5.8418,39.14,37.75,37.51,2/3446
gmres,sor,124.94,41.38,38.92,37.96,1/3446
fcg,sor,9.6181,38.48,38.42,37.81,1/3447
tcqmr,sor,89.464,40.19,38.93,38.05,1/3443
cgs,sor,9.5668,39.13,38.74,38.0,1/3444
bcgs,sor,8.508,36.54,38.18,37.83,2/3446
tfqmr,sor,9.4755,36.02,37.96,37.77,2/3443
cr,sor,6.3212,34.23,37.47,37.61,1/3444
gcr,sor,105.51,39.46,38.25,37.87,4/3445
cg,mg,6.4514,38.6,38.1,37.82,1/3446
gmres,mg,66.047,38.43,38.25,37.9,5/3448
fcg,mg,8.8846,37.58,38.04,37.84,3/3448
tcqmr,mg,25.701,36.43,37.72,37.74,1/3444
cgs,mg,9.6547,35.86,37.51,37.67,2/3446
bcgs,mg,10.263,32.94,36.77,37.42,1/3445
tfqmr,mg,9.7707,33.22,36.63,37.36,1/3445
cr,mg,7.2502,33.82,36.57,37.33,1/3447
gcr,mg,77.969,39.32,37.51,37.59,3/3444
cg,bjacobi,4.4457,37.95,37.26,37.5,1/3444
gmres,bjacobi,76.257,40.38,38.08,37.76,2/3441
fcg,bjacobi,7.9654,39.32,37.93,37.72,1/3442
tcqmr,bjacobi,22.553,39.02,37.95,37.73,1/3445
cgs,bjacobi,6.9247,38.45,37.86,37.7,1/3445
bcgs,bjacobi,6.4213,35.91,37.33,37.53,2/3444
tfqmr,bjacobi,7.2033,33.93,36.82,37.36,2/3443
cr,bjacobi,4.2475,33.62,36.65,37.3,1/3443
gcr,bjacobi,106.25,39.0,37.98,37.72,3/3445
cg,jacobi,7.5323,36.41,37.46,37.56,2/3444
gmres,jacobi,86.258,39.65,38.15,37.78,1/3444
fcg,jacobi,16.684,39.25,38.13,37.79,1/3441
tcqmr,jacobi,132.7,40.45,38.98,38.15,1/3444
cgs,jacobi,13.567,39.16,38.74,38.09,1/3444
bcgs,jacobi,11.943,38.52,38.59,38.05,2/3447
tfqmr,jacobi,14.879,36.49,38.11,37.91,2/3453
cr,jacobi,7.8453,34.36,37.57,37.73,2/3451
gcr,jacobi,120.71,39.91,38.5,38.04,1/3445
cg,sor,5.6615,38.65,38.27,37.97,1/3446
gmres,sor,124.34,40.16,38.89,38.24,2/3447
fcg,sor,10.072,37.61,38.4,38.09,1/3450
tcqmr,sor,89.905,40.54,39.13,38.38,1/3444
cgs,sor,9.938,37.9,38.62,38.23,6/3448
bcgs,sor,9.3593,37.24,38.42,38.16,2/3446
tfqmr,sor,9.2554,36.89,38.26,38.11,1/3444
cr,sor,5.8015,36.44,38.07,38.05,2/3446
gcr,sor,104.76,39.99,38.74,38.29,1/3445
cg,mg,6.8073,38.92,38.55,38.24,3/3446
gmres,mg,66.263,40.36,39.03,38.42,1/3444
fcg,mg,8.9236,39.08,38.79,38.35,2/3445
tcqmr,mg,24.762,36.21,38.17,38.17,1/3445
cgs,mg,9.7131,35.83,37.97,38.1,1/3444
bcgs,mg,11.179,34.37,37.5,37.94,2/3444
tfqmr,mg,9.7352,34.48,37.35,37.89,3/3444
cr,mg,6.5648,34.8,37.26,37.85,2/3444
gcr,mg,77.216,37.57,37.61,37.92,1/3443
