ksp_type,pc_type,response,min1,min5,min15,proc
cr,mg,23.86,118.88,118.35,121.38,84/3696
gcr,mg,222.69,129.85,126.78,123.96,86/3694
cg,bjacobi,32.557,118.83,123.36,123.06,107/3698
gmres,bjacobi,240.56,125.64,126.89,124.62,84/3691
fcg,bjacobi,43.793,120.11,123.27,123.5,94/3695
tcqmr,bjacobi,109.98,126.57,123.94,123.52,85/3692
cgs,bjacobi,33.545,117.41,120.57,122.26,92/3693
bcgs,bjacobi,32.278,118.06,119.57,121.62,94/3697
tfqmr,bjacobi,33.697,117.88,118.38,120.83,81/3691
cr,bjacobi,24.994,117.88,118.09,120.37,82/3694
gcr,bjacobi,364.27,130.4,130.2,125.14,85/3702
cg,jacobi,82.631,121.18,125.87,124.3,84/3691
gmres,jacobi,332.27,130.26,131.06,127.05,84/3701
fcg,jacobi,105.17,124.64,126.95,126.05,85/3700
tcqmr,jacobi,845.28,128.34,135.02,132.05,83/3704
cgs,jacobi,85.547,124.08,129.13,130.15,92/3696
bcgs,jacobi,82.44,121.7,125.66,128.52,93/3695
tfqmr,jacobi,88.388,123.55,124.39,127.37,91/3695
cr,jacobi,60.634,122.25,122.46,126.05,92/3689
gcr,jacobi,422.01,128.88,132.11,129.31,115/3696
cg,sor,36.313,120.88,127.23,127.83,84/3692
gmres,sor,388.75,130.02,133.26,130.51,95/3697
fcg,sor,46.796,119.32,126.88,128.45,87/3701
tcqmr,sor,369.61,126.72,130.98,129.73,95/3697
cgs,sor,40.418,123.55,126.74,128.21,86/3693
bcgs,sor,42.709,120.25,123.78,126.82,87/3700
tfqmr,sor,39.058,120.16,122.32,125.8,88/3693
cr,sor,29.769,117.71,120.07,124.44,89/3694
gcr,sor,338.75,130.6,130.07,127.4,95/3700
cg,mg,29.189,117.75,124.66,125.68,85/3699
gmres,mg,185.1,126.01,126.96,126.25,83/3697
fcg,mg,33.891,120.52,123.74,125.08,100/3693
tcqmr,mg,85.111,125.11,124.48,125.04,86/3689
cgs,mg,31.602,119.05,121.68,123.86,92/3696
bcgs,mg,36.349,119.82,120.64,123.12,102/3698
tfqmr,mg,33.151,119.05,119.61,122.35,84/3694
cr,mg,24.699,118.95,118.82,121.64,82/3700
gcr,mg,233.1,126.38,125.99,123.85,93/3700
cg,bjacobi,34.838,118.01,122.39,122.77,92/3695
gmres,bjacobi,251.04,128.95,129.73,125.88,87/3692
fcg,bjacobi,40.891,120.12,124.74,124.48,103/3696
tcqmr,bjacobi,108.62,123.04,123.9,124.09,90/3698
cgs,bjacobi,32.791,122.46,122.59,123.5,84/3695
bcgs,bjacobi,33.296,122.31,122.29,123.23,86/3702
tfqmr,bjacobi,34.747,120.15,120.92,122.52,95/3693
cr,bjacobi,25.116,118.53,119.91,121.92,100/3693
gcr,bjacobi,359.92,129.21,130.14,126.02,86/3691
cg,jacobi,81.273,122.34,126.23,125.15,90/3694
gmres,jacobi,340.5,127.42,130.86,127.62,91/3697
fcg,jacobi,101.25,128.06,128.7,127.25,85/3697
tcqmr,jacobi,748.43,130.37,135.16,132.04,94/3699
cgs,jacobi,90.241,126.81,130.12,130.48,84/3696
bcgs,jacobi,83.737,125.66,127.43,129.24,90/3697
tfqmr,jacobi,88.347,125.24,125.87,128.14,94/3698
cr,jacobi,59.704,122.26,123.81,126.91,87/3695
