ksp_type,pc_type,response
gmres,mg,69.438
fcg,mg,8.6891
tcqmr,mg,25.355
cgs,mg,9.8783
bcgs,mg,10.22
tfqmr,mg,10.154
cr,mg,6.5816
gcr,mg,78.029
cg,jacobi,8.0057
gmres,jacobi,86.278
fcg,jacobi,17.242
tcqmr,jacobi,135.96
cgs,jacobi,13.701
bcgs,jacobi,12.34
tfqmr,jacobi,15.107
cr,jacobi,8.2023
gcr,jacobi,118.9
cg,sor,6.0823
gmres,sor,127.95
fcg,sor,10.158
tcqmr,sor,91.295
cgs,sor,9.5972
bcgs,sor,8.9253
tfqmr,sor,9.3626
cr,sor,5.8075
gcr,sor,105.47
cg,bjacobi,5.1586
gmres,bjacobi,79.182
fcg,bjacobi,8.0082
tcqmr,bjacobi,22.037
cgs,bjacobi,7.6736
bcgs,bjacobi,6.6574
tfqmr,bjacobi,7.4628
cr,bjacobi,4.5418
gcr,bjacobi,105.59
cg,mg,6.7181
gmres,mg,66.562
fcg,mg,8.6983
tcqmr,mg,25.44
cgs,mg,9.7337
bcgs,mg,10.38
tfqmr,mg,9.9741
cr,mg,6.5981
gcr,mg,79.572
cg,jacobi,7.3994
gmres,jacobi,89.365
fcg,jacobi,16.749
tcqmr,jacobi,134.47
cgs,jacobi,13.773
bcgs,jacobi,12.145
tfqmr,jacobi,15.085
cr,jacobi,8.2305
gcr,jacobi,116.98
cg,sor,5.6895
gmres,sor,128.06
fcg,sor,9.5204
tcqmr,sor,90.133
cgs,sor,9.8472
bcgs,sor,8.6971
tfqmr,sor,9.9461
cr,sor,5.9602
gcr,sor,105.44
cg,bjacobi,4.6434
gmres,bjacobi,75.586
fcg,bjacobi,8.1134
tcqmr,bjacobi,21.937
cgs,bjacobi,7.092
bcgs,bjacobi,6.6832
tfqmr,bjacobi,7.8077
cr,bjacobi,4.4571
gcr,bjacobi,104.14
cg,mg,6.7783
gmres,mg,67.097
fcg,mg,8.7923
tcqmr,mg,24.761
cgs,mg,10.306
bcgs,mg,10.313
tfqmr,mg,9.9649
cr,mg,6.8938
gcr,mg,79.191
cg,jacobi,7.6458
gmres,jacobi,90.163
fcg,jacobi,18.215
tcqmr,jacobi,134.49
cgs,jacobi,13.735
bcgs,jacobi,12.212
tfqmr,jacobi,15.897
cr,jacobi,7.6211
gcr,jacobi,119.25
cg,sor,5.7636
gmres,sor,125.29
fcg,sor,10.123
tcqmr,sor,91.526
cgs,sor,9.9061
bcgs,sor,8.5569
tfqmr,sor,9.4828
cr,sor,6.158
gcr,sor,106.62
cg,bjacobi,4.5429
gmres,bjacobi,76.899
fcg,bjacobi,8.215
tcqmr,bjacobi,22.75
cgs,bjacobi,7.1504
bcgs,bjacobi,7.0541
tfqmr,bjacobi,7.4371
cr,bjacobi,4.4092
gcr,bjacobi,104.27
cg,mg,6.4865
gmres,mg,67.074
fcg,mg,8.7023
tcqmr,mg,25.008
cgs,mg,9.9615
bcgs,mg,10.303
tfqmr,mg,10.286
cr,mg,6.6182
gcr,mg,79.695
cg,jacobi,8.1174
gmres,jacobi,86.361
fcg,jacobi,17.456
tcqmr,jacobi,134.36
cgs,jacobi,13.737
bcgs,jacobi,12.215
tfqmr,jacobi,15.987
cr,jacobi,7.8971
gcr,jacobi,117.49
cg,sor,5.7412
gmres,sor,125.08
fcg,sor,9.8061
tcqmr,sor,90.725
cgs,sor,9.6921
bcgs,sor,8.6436
tfqmr,sor,9.5976
cr,sor,5.913
gcr,sor,105.6
cg,bjacobi,4.7623
gmres,bjacobi,75.583
fcg,bjacobi,8.1388
tcqmr,bjacobi,22.157
cgs,bjacobi,7.381
bcgs,bjacobi,6.5731
tfqmr,bjacobi,7.7355
cr,bjacobi,4.3728
gcr,bjacobi,104.32
cg,mg,6.6245
gmres,mg,67.134
fcg,mg,9.3413
tcqmr,mg,25.053
cgs,mg,9.7567
bcgs,mg,10.31
tfqmr,mg,9.8658
cr,mg,7.1242
gcr,mg,77.827
cg,jacobi,7.3541
gmres,jacobi,88.759
fcg,jacobi,16.994
tcqmr,jacobi,133.42
cgs,jacobi,13.805
bcgs,jacobi,12.577
tfqmr,jacobi,16.102
cr,jacobi,8.3788
gcr,jacobi,118.11
cg,sor,5.7448
gmres,sor,124.87
fcg,sor,9.8174
tcqmr,sor,91.297
cgs,sor,9.7063
bcgs,sor,8.5338
tfqmr,sor,9.4143
cr,sor,6.196
gcr,sor,107.04
cg,bjacobi,4.7103
gmres,bjacobi,76.615
fcg,bjacobi,8.5677
tcqmr,bjacobi,22.299
cgs,bjacobi,7.0653
bcgs,bjacobi,7.0179
tfqmr,bjacobi,7.9365
cr,bjacobi,4.4392
gcr,bjacobi,105.73
cg,mg,6.9036
gmres,mg,66.679
fcg,mg,9.3076
tcqmr,mg,25.785
cgs,mg,10.362
bcgs,mg,10.749
tfqmr,mg,10.227
cr,mg,6.8582
gcr,mg,80.443
cg,jacobi,8.1763
gmres,jacobi,87.127
fcg,jacobi,16.837
tcqmr,jacobi,135.01
cgs,jacobi,14.288
bcgs,jacobi,12.726
tfqmr,jacobi,15.111
cr,jacobi,8.375
gcr,jacobi,118.47
cg,sor,5.7642
gmres,sor,124.5
fcg,sor,9.6808
tcqmr,sor,91.695
cgs,sor,9.466
bcgs,sor,8.5738
tfqmr,sor,10.042
cr,sor,6.2601
gcr,sor,106.43
cg,bjacobi,4.9276
gmres,bjacobi,77.342
fcg,bjacobi,8.3816
tcqmr,bjacobi,22.433
cgs,bjacobi,7.2713
bcgs,bjacobi,7.4854
tfqmr,bjacobi,7.4192
cr,bjacobi,4.6027
gcr,bjacobi,104.93
cg,mg,6.5785
gmres,mg,66.267
fcg,mg,9.065
tcqmr,mg,24.861
cgs,mg,10.151
