ksp_type,pc_type,response
fcg,mg,49.933
tcqmr,mg,162.96
cgs,mg,62.892
bcgs,mg,63.407
tfqmr,mg,62.682
cr,mg,42.179
gcr,mg,645.58
cg,jacobi,37.716
gmres,jacobi,234.83
fcg,jacobi,69.873
tcqmr,jacobi,242.34
cgs,jacobi,68.307
bcgs,jacobi,58.326
tfqmr,jacobi,67.371
cr,jacobi,36.499
gcr,jacobi,1348.8
cg,sor,34.177
gmres,sor,520.36
fcg,sor,48.135
tcqmr,sor,133.2
cgs,sor,49.558
bcgs,sor,50.438
tfqmr,sor,47.699
cr,sor,33.021
gcr,sor,1435.0
cg,mg,42.882
gmres,mg,381.71
fcg,mg,49.837
tcqmr,mg,161.39
cgs,mg,61.515
bcgs,mg,61.889
tfqmr,mg,60.788
cr,mg,41.479
gcr,mg,639.48
cg,jacobi,39.535
gmres,jacobi,235.03
fcg,jacobi,70.644
tcqmr,jacobi,241.94
cgs,jacobi,68.312
bcgs,jacobi,56.384
tfqmr,jacobi,65.799
cr,jacobi,37.068
gcr,jacobi,1351.6
cg,sor,33.577
gmres,sor,511.85
fcg,sor,46.36
tcqmr,sor,129.45
cgs,sor,50.599
bcgs,sor,50.401
tfqmr,sor,48.75
cr,sor,34.543
gcr,sor,1427.0
cg,mg,41.695
gmres,mg,377.38
fcg,mg,50.96
tcqmr,mg,159.91
cgs,mg,64.824
bcgs,mg,63.936
tfqmr,mg,62.049
cr,mg,41.501
gcr,mg,642.02
cg,jacobi,37.769
gmres,jacobi,234.26
fcg,jacobi,71.12
tcqmr,jacobi,239.58
cgs,jacobi,69.813
bcgs,jacobi,56.518
tfqmr,jacobi,65.611
cr,jacobi,35.3
gcr,jacobi,1355.3
cg,sor,33.608
gmres,sor,510.65
fcg,sor,46.543
tcqmr,sor,127.95
cgs,sor,50.733
bcgs,sor,50.6
tfqmr,sor,48.338
cr,sor,33.512
gcr,sor,1437.9
cg,mg,43.415
gmres,mg,369.7
fcg,mg,49.957
tcqmr,mg,157.16
cgs,mg,63.738
bcgs,mg,61.904
tfqmr,mg,60.27
cr,mg,41.529
gcr,mg,639.67
cg,jacobi,37.758
gmres,jacobi,234.23
fcg,jacobi,71.455
tcqmr,jacobi,235.39
cgs,jacobi,68.433
bcgs,jacobi,57.102
tfqmr,jacobi,65.574
cr,jacobi,35.336
gcr,jacobi,1358.3
cg,sor,34.303
gmres,sor,513.74
fcg,sor,46.851
tcqmr,sor,128.4
cgs,sor,50.122
bcgs,sor,50.628
tfqmr,sor,49.635
cr,sor,33.217
gcr,sor,1438.9
cg,mg,43.487
gmres,mg,383.62
fcg,mg,49.486
tcqmr,mg,161.79
cgs,mg,63.195
bcgs,mg,64.268
tfqmr,mg,61.555
cr,mg,41.258
gcr,mg,641.91
cg,jacobi,37.894
gmres,jacobi,236.93
fcg,jacobi,72.704
tcqmr,jacobi,241.62
cgs,jacobi,68.769
bcgs,jacobi,56.898
tfqmr,jacobi,67.173
cr,jacobi,35.65
gcr,jacobi,1351.7
cg,sor,33.747
gmres,sor,504.96
fcg,sor,45.921
tcqmr,sor,127.79
cgs,sor,49.555
