"(0,5]"	330
"(5,10]"	72
"(10,15]"	30
"(15,20]"	0
"(20,25]"	3
"(25,30]"	41
"(30,35]"	35
"(35,40]"	22
"(40,45]"	27
"(45,50]"	16
"(50,55]"	0
"(55,60]"	0
