ksp_type,pc_type,response
gmres,sor,247.39
gmres,mg,189.50
fcg,bjacobi,105.87
fcg,jacobi,43.15
fcg,sor,131.22
fcg,mg,139.46
tcqmr,bjacobi,327.31
tcqmr,jacobi,269.35
tcqmr,sor,371.14
tcqmr,mg,362.09
cgs,bjacobi,39.42
cgs,jacobi,249.67
cgs,sor,56.61
cgs,mg,156.90
bcgs,bjacobi,115.21
bcgs,jacobi,60.90
bcgs,sor,146.59
bcgs,mg,166.04
tfqmr,bjacobi,114.95
tfqmr,jacobi,111.25
tfqmr,sor,155.37
tfqmr,mg,155.09
cr,bjacobi,98.00
cr,jacobi,41.32
cr,sor,119.79
cr,mg,133.95
gcr,bjacobi,131.63
gcr,jacobi,174.86
gcr,sor,188.34
gcr,mg,144.99
cg,bjacobi,98.61
cg,jacobi,41.19
cg,sor,123.96
cg,mg,134.72
gmres,bjacobi,166.76
gmres,jacobi,196.43
gmres,sor,247.80
gmres,mg,186.97
fcg,bjacobi,105.34
fcg,jacobi,43.06
fcg,sor,130.96
fcg,mg,138.42
tcqmr,bjacobi,304.36
tcqmr,jacobi,116.71
tcqmr,sor,386.96
tcqmr,mg,360.87
cgs,bjacobi,40.28
cgs,jacobi,59.71
cgs,sor,56.86
cgs,mg,156.97
bcgs,bjacobi,115.76
bcgs,jacobi,57.94
bcgs,sor,148.83
bcgs,mg,173.64
tfqmr,bjacobi,116.74
tfqmr,jacobi,921.89
tfqmr,sor,150.17
tfqmr,mg,152.50
cr,bjacobi,98.59
cr,jacobi,41.78
cr,sor,121.39
cr,mg,133.61
gcr,bjacobi,132.65
gcr,jacobi,174.96
gcr,sor,188.32
gcr,mg,143.19
cg,bjacobi,99.13
cg,jacobi,41.14
cg,sor,124.08
cg,mg,134.42
gmres,bjacobi,165.57
gmres,jacobi,194.89
gmres,sor,249.96
gmres,mg,188.24
fcg,bjacobi,104.87
fcg,jacobi,42.42
fcg,sor,132.27
fcg,mg,139.04
tcqmr,bjacobi,326.49
tcqmr,jacobi,1088.80
tcqmr,sor,3111.90
tcqmr,mg,361.20
cgs,bjacobi,40.18
cgs,jacobi,111.45
cgs,sor,56.91
cgs,mg,156.15
bcgs,bjacobi,117.69
bcgs,jacobi,67.21
cg,bjacobi,98.91
cg,jacobi,40.83
cg,sor,123.34
cg,mg,134.58
gmres,bjacobi,166.21
gmres,jacobi,192.03
gmres,sor,247.83
gmres,mg,187.83
fcg,bjacobi,105.33
fcg,jacobi,43.53
fcg,sor,131.41
fcg,mg,138.42
tcqmr,bjacobi,331.27
tcqmr,jacobi,1366.70
tcqmr,sor,362.14
tcqmr,mg,361.11
cgs,bjacobi,39.42
cgs,jacobi,904.92
