ksp_type,pc_type,speedup
cg,bjacobi,1.10
cg,jacobi,1.28
cg,sor,1.07
cg,mg,0.99
gmres,bjacobi,1.00
gmres,jacobi,1.12
gmres,sor,1.00
gmres,mg,0.97
fcg,bjacobi,1.08
fcg,jacobi,1.28
fcg,sor,1.04
fcg,mg,0.97
tcqmr,bjacobi,0.78
tcqmr,jacobi,1.09
tcqmr,sor,0.64
tcqmr,mg,0.67
cgs,bjacobi,1.04
cgs,jacobi,1.24
cgs,sor,1.00
cgs,mg,0.95
bcgs,bjacobi,1.04
bcgs,jacobi,1.24
bcgs,sor,1.02
bcgs,mg,0.90
tfqmr,bjacobi,1.03
tfqmr,jacobi,1.23
tfqmr,sor,1.00
tfqmr,mg,0.93
cr,bjacobi,1.08
cr,jacobi,1.28
cr,sor,1.07
cr,mg,0.98
gcr,bjacobi,1.04
gcr,jacobi,1.14
gcr,sor,1.03
gcr,mg,1.01
