ksp_type,pc_type,speedup
cg,bjacobi,1.12
cg,jacobi,1.23
cg,sor,1.13
cg,mg,1.05
gmres,bjacobi,1.00
gmres,jacobi,1.13
gmres,sor,1.05
gmres,mg,1.02
fcg,bjacobi,1.09
fcg,jacobi,1.21
fcg,sor,1.10
fcg,mg,1.04
tcqmr,bjacobi,0.86
tcqmr,jacobi,1.11
tcqmr,sor,0.84
tcqmr,mg,0.88
cgs,bjacobi,1.10
cgs,jacobi,1.17
cgs,sor,1.09
cgs,mg,1.02
bcgs,bjacobi,1.08
bcgs,jacobi,1.20
bcgs,sor,1.09
bcgs,mg,1.00
tfqmr,bjacobi,1.09
tfqmr,jacobi,1.20
tfqmr,sor,1.10
tfqmr,mg,1.05
cr,bjacobi,1.13
cr,jacobi,1.20
cr,sor,1.11
cr,mg,1.05
gcr,bjacobi,1.09
gcr,jacobi,1.10
gcr,sor,1.07
gcr,mg,1.08
