ksp_type,pc_type,speedup
cg,bjacobi,1.02
cg,jacobi,1.03
cg,sor,1.01
cg,mg,0.93
gmres,bjacobi,1.00
gmres,jacobi,1.05
gmres,sor,0.99
gmres,mg,0.96
fcg,bjacobi,0.99
fcg,jacobi,1.07
fcg,sor,1.01
fcg,mg,0.95
tcqmr,bjacobi,0.91
tcqmr,jacobi,0.96
tcqmr,sor,0.91
tcqmr,mg,0.87
cgs,bjacobi,0.92
cgs,jacobi,1.08
cgs,sor,1.00
cgs,mg,0.92
bcgs,bjacobi,0.99
bcgs,jacobi,1.07
bcgs,sor,1.03
bcgs,mg,0.94
tfqmr,bjacobi,0.99
tfqmr,jacobi,1.04
tfqmr,sor,0.99
tfqmr,mg,0.96
cr,bjacobi,1.03
cr,jacobi,1.04
cr,sor,1.04
cr,mg,0.96
gcr,bjacobi,1.01
gcr,jacobi,1.05
gcr,sor,0.99
gcr,mg,0.95
