ksp_type,pc_type,response
cgs,jacobi,68.84
cgs,sor,51.50
cgs,mg,61.82
bcgs,icc,42.08
bcgs,jacobi,58.57
bcgs,sor,52.55
bcgs,mg,61.89
tfqmr,icc,45.79
tfqmr,jacobi,66.62
tfqmr,sor,49.65
tfqmr,mg,60.48
cr,icc,30.12
cr,jacobi,39.24
cr,sor,36.66
cr,mg,43.51
gcr,icc,571.13
gcr,jacobi,714.44
gcr,sor,836.03
gcr,mg,419.84
cg,icc,32.65
cg,jacobi,41.70
cg,sor,37.38
cg,mg,44.27
gmres,icc,311.55
gmres,jacobi,214.04
gmres,sor,452.24
gmres,mg,334.40
fcg,icc,42.47
fcg,jacobi,70.81
fcg,sor,48.40
fcg,mg,50.32
tcqmr,icc,101.45
tcqmr,jacobi,218.68
tcqmr,sor,121.91
tcqmr,mg,145.14
cgs,icc,46.62
cgs,jacobi,69.33
cgs,sor,51.85
cgs,mg,62.24
bcgs,icc,42.09
bcgs,jacobi,58.52
bcgs,sor,51.82
bcgs,mg,61.81
tfqmr,icc,45.81
tfqmr,jacobi,66.71
tfqmr,sor,49.82
tfqmr,mg,60.47
cr,icc,30.14
cr,jacobi,39.48
cr,sor,36.70
cr,mg,43.40
gcr,icc,572.86
gcr,jacobi,717.62
gcr,sor,835.27
gcr,mg,419.70
cg,icc,32.65
cg,jacobi,41.74
cg,sor,37.44
cg,mg,44.36
gmres,icc,312.41
gmres,jacobi,214.23
gmres,sor,451.51
gmres,mg,335.44
fcg,icc,42.56
fcg,jacobi,70.69
fcg,sor,48.46
fcg,mg,50.55
tcqmr,icc,101.52
tcqmr,jacobi,218.82
tcqmr,sor,121.52
tcqmr,mg,145.42
cgs,icc,46.62
cgs,jacobi,68.96
cgs,sor,51.56
cgs,mg,61.89
bcgs,icc,42.09
bcgs,jacobi,58.60
bcgs,sor,52.04
bcgs,mg,62.11
tfqmr,icc,45.75
tfqmr,jacobi,66.63
tfqmr,sor,50.00
tfqmr,mg,60.66
cr,icc,30.12
cr,jacobi,39.25
cr,sor,36.78
cr,mg,43.53
gcr,icc,571.18
gcr,jacobi,717.03
gcr,sor,837.50
gcr,mg,420.63
cg,icc,32.66
cg,jacobi,41.60
cg,sor,37.45
cg,mg,44.41
gmres,icc,311.74
gmres,jacobi,214.46
gmres,sor,452.05
gmres,mg,334.95
fcg,icc,42.33
fcg,jacobi,70.67
fcg,sor,48.36
fcg,mg,50.33
tcqmr,icc,101.48
tcqmr,jacobi,218.08
tcqmr,sor,121.45
tcqmr,mg,144.69
cgs,icc,46.52
cgs,jacobi,68.91
cgs,sor,51.52
cgs,mg,61.87
bcgs,icc,42.02
bcgs,jacobi,58.44
bcgs,sor,51.85
bcgs,mg,61.77
tfqmr,icc,45.81
tfqmr,jacobi,67.11
tfqmr,sor,49.78
tfqmr,mg,60.56
cr,icc,30.06
cr,jacobi,39.19
cr,sor,36.76
cr,mg,43.46
gcr,icc,570.98
gcr,jacobi,712.67
gcr,sor,850.02
gcr,mg,418.66
cg,icc,32.82
cg,jacobi,41.84
cg,sor,37.98
cg,mg,44.63
gmres,icc,312.91
gmres,jacobi,215.14
gmres,sor,453.60
gmres,mg,338.19
fcg,icc,42.42
fcg,jacobi,70.88
fcg,sor,48.66
fcg,mg,50.38
tcqmr,icc,101.43
tcqmr,jacobi,218.61
tcqmr,sor,121.98
tcqmr,mg,145.44
cgs,icc,46.66
cgs,jacobi,69.41
cgs,sor,51.73
cgs,mg,62.30
bcgs,icc,42.35
bcgs,jacobi,58.71
bcgs,sor,52.21
bcgs,mg,62.41
tfqmr,icc,45.79
tfqmr,jacobi,66.96
tfqmr,sor,49.78
tfqmr,mg,61.19
cr,icc,30.22
cr,jacobi,39.40
cr,sor,36.84
cr,mg,43.81
gcr,icc,576.75
gcr,jacobi,715.50
gcr,sor,836.48
gcr,mg,420.04
cg,icc,32.74
cg,jacobi,41.56
cg,sor,37.43
cg,mg,44.59
gmres,icc,312.32
gmres,jacobi,214.31
gmres,sor,452.15
gmres,mg,334.53
fcg,icc,42.49
fcg,jacobi,70.62
fcg,sor,48.41
fcg,mg,50.35
tcqmr,icc,101.33
tcqmr,jacobi,219.08
tcqmr,sor,121.26
tcqmr,mg,145.05
cgs,icc,46.87
cgs,jacobi,69.15
cgs,sor,51.72
cgs,mg,61.98
bcgs,icc,42.17
bcgs,jacobi,58.66
bcgs,sor,52.04
bcgs,mg,61.94
tfqmr,icc,45.82
tfqmr,jacobi,66.90
tfqmr,sor,50.05
tfqmr,mg,60.73
cr,icc,30.14
cr,jacobi,39.26
cr,sor,36.77
cr,mg,43.49
gcr,icc,572.64
gcr,jacobi,716.24
gcr,sor,833.28
gcr,mg,418.97
cg,icc,32.57
cg,jacobi,41.74
cg,sor,37.56
cg,mg,44.15
gmres,icc,312.78
gmres,jacobi,214.79
gmres,sor,452.13
gmres,mg,334.54
fcg,icc,42.39
fcg,jacobi,70.73
fcg,sor,48.37
fcg,mg,50.41
tcqmr,icc,101.62
tcqmr,jacobi,218.82
tcqmr,sor,121.13
tcqmr,mg,144.42
cgs,icc,46.59
cgs,jacobi,69.06
cgs,sor,51.58
cgs,mg,62.38
bcgs,icc,42.05
bcgs,jacobi,58.53
bcgs,sor,51.92
bcgs,mg,62.07
tfqmr,icc,45.70
tfqmr,jacobi,66.77
tfqmr,sor,49.64
tfqmr,mg,60.88
cr,icc,30.16
cr,jacobi,39.65
cr,sor,36.77
cr,mg,43.49
gcr,icc,572.12
gcr,jacobi,712.80
gcr,sor,832.23
gcr,mg,418.29
cg,icc,32.68
cg,jacobi,41.62
cg,sor,37.54
cg,mg,44.16
gmres,icc,311.51
gmres,jacobi,214.28
gmres,sor,451.57
gmres,mg,334.62
fcg,icc,42.40
fcg,jacobi,70.69
fcg,sor,48.39
fcg,mg,50.27
tcqmr,icc,101.22
tcqmr,jacobi,218.63
tcqmr,sor,121.30
tcqmr,mg,144.65
cgs,icc,46.50
cgs,jacobi,69.33
cgs,sor,51.40
cgs,mg,61.75
bcgs,icc,42.21
bcgs,jacobi,58.46
bcgs,sor,51.77
bcgs,mg,61.93
tfqmr,icc,45.69
tfqmr,jacobi,66.75
tfqmr,sor,49.75
tfqmr,mg,60.45
cr,icc,30.11
cr,jacobi,39.31
cr,sor,36.99
cr,mg,43.46
gcr,icc,571.41
gcr,jacobi,714.72
gcr,sor,833.40
gcr,mg,420.79
cg,icc,32.63
cg,jacobi,41.59
cg,sor,37.61
cg,mg,44.30
gmres,icc,312.64
gmres,jacobi,214.71
gmres,sor,453.13
gmres,mg,334.86
fcg,icc,42.37
fcg,jacobi,70.63
fcg,sor,48.49
fcg,mg,50.31
tcqmr,icc,101.29
tcqmr,jacobi,218.19
tcqmr,sor,121.09
tcqmr,mg,144.72
cgs,icc,46.54
cgs,jacobi,69.02
cgs,sor,51.68
cgs,mg,61.83
bcgs,icc,42.09
bcgs,jacobi,58.49
bcgs,sor,51.88
bcgs,mg,61.85
tfqmr,icc,45.79
tfqmr,jacobi,66.89
tfqmr,sor,49.69
tfqmr,mg,60.41
cr,icc,30.25
cr,jacobi,39.34
cr,sor,36.81
cr,mg,43.49
gcr,icc,572.33
gcr,jacobi,713.49
gcr,sor,835.58
gcr,mg,419.12
