ksp_type,pc_type,response
cg,jacobi,3.22
cg,sor,2.63
cg,mg,2.99
gmres,bjacobi,28.38
gmres,jacobi,33.26
gmres,sor,49.25
gmres,mg,28.84
fcg,bjacobi,3.38
fcg,jacobi,6.32
fcg,sor,4.10
fcg,mg,3.85
tcqmr,bjacobi,14.46
tcqmr,jacobi,34.66
tcqmr,sor,10.31
tcqmr,mg,9.82
cgs,bjacobi,3.10
cgs,jacobi,5.69
cgs,sor,3.95
cgs,mg,4.28
bcgs,bjacobi,3.17
bcgs,jacobi,5.04
bcgs,sor,3.67
bcgs,mg,4.62
tfqmr,bjacobi,3.10
tfqmr,jacobi,6.29
tfqmr,sor,4.10
tfqmr,mg,4.22
cr,bjacobi,2.10
cr,jacobi,3.28
cr,sor,2.72
cr,mg,3.07
gcr,bjacobi,41.17
gcr,jacobi,44.28
gcr,sor,41.89
gcr,mg,31.03
cg,bjacobi,2.20
cg,jacobi,3.12
cg,sor,2.54
cg,mg,3.06
gmres,bjacobi,26.85
gmres,jacobi,31.92
gmres,sor,46.74
gmres,mg,24.96
fcg,bjacobi,3.25
fcg,jacobi,6.26
fcg,sor,3.90
fcg,mg,3.83
tcqmr,bjacobi,13.90
tcqmr,jacobi,33.47
tcqmr,sor,10.13
tcqmr,mg,9.52
cgs,bjacobi,3.08
cgs,jacobi,5.50
cgs,sor,3.80
cgs,mg,4.21
bcgs,bjacobi,2.96
bcgs,jacobi,4.95
bcgs,sor,3.70
bcgs,mg,4.51
tfqmr,bjacobi,3.11
tfqmr,jacobi,5.89
tfqmr,sor,3.89
tfqmr,mg,4.17
cr,bjacobi,2.05
cr,jacobi,3.32
cr,sor,2.67
cr,mg,3.07
gcr,bjacobi,38.49
gcr,jacobi,42.35
gcr,sor,39.80
gcr,mg,29.25
cg,bjacobi,2.12
cg,jacobi,3.10
cg,sor,2.54
cg,mg,3.03
gmres,bjacobi,26.82
gmres,jacobi,31.64
gmres,sor,46.69
gmres,mg,25.13
fcg,bjacobi,3.29
fcg,jacobi,6.21
fcg,sor,3.95
fcg,mg,3.86
tcqmr,bjacobi,13.98
tcqmr,jacobi,33.50
tcqmr,sor,10.07
tcqmr,mg,9.51
cgs,bjacobi,3.03
cgs,jacobi,5.41
cgs,sor,3.73
cgs,mg,4.25
bcgs,bjacobi,3.00
bcgs,jacobi,4.97
bcgs,sor,3.62
bcgs,mg,4.41
tfqmr,bjacobi,3.10
tfqmr,jacobi,5.71
tfqmr,sor,3.93
tfqmr,mg,4.24
cr,bjacobi,2.05
cr,jacobi,3.26
cr,sor,2.67
cr,mg,3.01
gcr,bjacobi,38.59
gcr,jacobi,42.27
gcr,sor,39.84
gcr,mg,29.48
cg,bjacobi,2.17
cg,jacobi,3.13
cg,sor,2.57
cg,mg,2.94
gmres,bjacobi,26.81
gmres,jacobi,31.88
gmres,sor,46.71
gmres,mg,25.17
fcg,bjacobi,3.31
fcg,jacobi,6.34
fcg,sor,3.99
fcg,mg,3.77
tcqmr,bjacobi,14.10
tcqmr,jacobi,33.66
tcqmr,sor,9.93
tcqmr,mg,9.55
cgs,bjacobi,3.08
cgs,jacobi,5.39
cgs,sor,3.83
cgs,mg,4.38
bcgs,bjacobi,2.99
bcgs,jacobi,4.88
bcgs,sor,3.55
bcgs,mg,4.40
tfqmr,bjacobi,3.12
tfqmr,jacobi,5.78
tfqmr,sor,3.88
tfqmr,mg,4.36
cr,bjacobi,1.97
cr,jacobi,3.20
cr,sor,2.66
cr,mg,2.97
gcr,bjacobi,38.85
gcr,jacobi,42.59
gcr,sor,39.94
