ksp_type,pc_type,response,min1,min5,min15,proc
fcg,jacobi,72.235,4.43,4.29,4.38,4/3454
tcqmr,jacobi,235.86,3.86,4.11,4.28,3/3452
cgs,jacobi,67.334,4.29,4.26,4.33,3/3449
bcgs,jacobi,55.815,3.96,4.18,4.29,6/3452
tfqmr,jacobi,65.055,3.86,4.1,4.26,3/3450
cr,jacobi,35.797,3.79,4.06,4.24,4/3451
gcr,jacobi,1348.5,6.29,5.62,5.06,4/3451
cg,sor,33.947,6.01,5.67,5.1,6/3454
gmres,sor,511.62,4.99,4.75,4.8,3/3451
fcg,sor,46.18,4.41,4.62,4.75,4/3451
tcqmr,sor,127.65,3.8,4.3,4.61,3/3451
cgs,sor,51.194,4.35,4.38,4.62,4/3454
bcgs,sor,51.227,3.69,4.19,4.54,3/3454
tfqmr,sor,47.751,4.41,4.33,4.57,5/3459
cr,sor,32.697,4.21,4.29,4.55,4/3454
gcr,sor,1661.2,100.16,94.27,61.36,89/3706
cg,mg,82.093,100.12,95.77,64.78,88/3704
gmres,mg,816.05,103.78,102.59,86.98,97/3703
fcg,mg,92.571,104.26,102.96,88.63,101/3709
tcqmr,mg,311.5,102.5,102.3,92.44,89/3706
cgs,mg,119.81,99.96,101.49,93.35,94/3707
bcgs,mg,117.82,102.63,102.03,94.55,91/3709
tfqmr,mg,119.11,101.46,102.15,95.52,89/3706
cr,mg,86.45,103.05,102.39,96.22,90/3703
gcr,mg,983.83,102.52,101.76,99.76,90/3714
cg,icc,58.307,107.27,103.19,100.37,94/3719
gmres,icc,697.52,102.98,102.8,101.58,88/3703
fcg,icc,76.758,101.56,102.48,101.57,84/3701
tcqmr,icc,206.89,104.86,103.77,102.27,97/3705
cgs,icc,86.412,103.21,103.46,102.3,92/3710
bcgs,icc,77.503,101.89,103.03,102.25,93/3703
tfqmr,icc,90.763,102.37,102.98,102.31,87/3709
cr,icc,50.411,103.55,103.2,102.42,85/3713
gcr,icc,1415.0,102.97,102.38,102.71,92/3705
cg,jacobi,69.596,100.59,101.76,102.47,89/3701
gmres,jacobi,433.95,104.09,101.83,102.13,89/3709
fcg,jacobi,130.91,102.22,102.37,102.34,88/3709
tcqmr,jacobi,446.88,99.3,101.14,101.79,94/3707
cgs,jacobi,138.3,97.75,99.96,101.27,85/3704
bcgs,jacobi,109.56,99.25,100.08,101.18,85/3704
tfqmr,jacobi,134.57,98.65,99.75,100.92,88/3704
cr,jacobi,70.797,102.57,100.68,101.15,89/3703
gcr,jacobi,1783.8,101.63,101.48,101.3,115/3707
cg,sor,77.031,101.03,101.34,101.27,91/3701
gmres,sor,1001.6,106.5,103.11,102.09,92/3713
fcg,sor,97.084,104.23,103.7,102.43,87/3710
tcqmr,sor,261.35,101.99,102.94,102.45,88/3705
cgs,sor,101.08,101.1,102.35,102.29,87/3707
bcgs,sor,93.168,100.11,101.81,102.12,85/3701
tfqmr,sor,95.22,102.38,102.24,102.24,90/3705
cr,sor,62.967,102.33,102.34,102.28,86/3699
gcr,sor,2055.9,101.44,101.66,101.74,86/3705
cg,mg,94.449,102.97,102.06,101.88,99/3706
gmres,mg,772.07,103.2,102.06,102.01,99/3714
fcg,mg,109.6,101.96,102.02,102.01,89/3707
tcqmr,mg,297.86,102.63,102.34,102.17,94/3713
cgs,mg,122.21,104.98,103.1,102.46,85/3708
bcgs,mg,123.61,106.32,103.64,102.7,93/3700
tfqmr,mg,114.77,101.45,102.94,102.57,96/3705
cr,mg,82.386,101.82,102.6,102.48,83/3704
gcr,mg,992.85,102.92,103.11,102.77,84/3704
cg,icc,55.131,102.23,102.86,102.71,90/3703
gmres,icc,691.53,102.67,102.87,102.66,89/3702
fcg,icc,78.812,102.3,102.86,102.69,91/3704
tcqmr,icc,200.43,100.78,101.95,102.37,85/3703
cgs,icc,86.529,102.99,102.4,102.49,92/3705
bcgs,icc,75.397,104.16,103.05,102.72,94/3702
tfqmr,icc,86.836,101.45,102.54,102.58,95/3703
cr,icc,48.254,101.26,102.35,102.52,94/3703
gcr,icc,1416.8,101.67,101.71,102.06,84/3707
cg,jacobi,69.125,101.75,101.75,102.05,84/3702
gmres,jacobi,431.16,103.42,102.55,102.26,88/3706
fcg,jacobi,139.24,103.89,103.14,102.52,87/3707
tcqmr,jacobi,459.25,103.48,103.04,102.82,89/3705
cgs,jacobi,132.68,101.28,102.48,102.66,84/3714
bcgs,jacobi,111.19,102.44,102.46,102.62,94/3711
tfqmr,jacobi,136.53,102.16,101.96,102.38,97/3704
cr,jacobi,71.65,103.16,102.31,102.47,85/3700
gcr,jacobi,1774.9,101.22,101.89,102.21,106/3707
cg,sor,69.158,101.68,101.87,102.17,93/3705
gmres,sor,1106.2,101.48,102.81,102.41,85/3709
fcg,sor,84.608,101.69,102.54,102.35,90/3710
tcqmr,sor,266.13,101.7,101.78,102.05,94/3702
cgs,sor,118.0,101.5,101.9,102.08,107/3705
bcgs,sor,108.42,100.33,101.51,101.93,97/3705
tfqmr,sor,102.73,101.66,101.48,101.86,88/3706
cr,sor,66.208,102.39,101.78,101.94,86/3701
gcr,sor,2025.5,99.31,99.99,101.16,85/3705
cg,mg,77.833,101.23,100.39,101.2,89/3705
gmres,mg,822.5,103.88,103.55,102.47,89/3711
fcg,mg,100.37,103.64,103.6,102.6,86/3705
tcqmr,mg,309.45,102.45,102.65,102.47,100/3704
cgs,mg,112.72,102.9,102.81,102.56,90/3706
bcgs,mg,123.64,100.53,102.18,102.38,96/3712
tfqmr,mg,109.28,103.74,102.49,102.44,85/3708
cr,mg,95.721,102.8,102.49,102.44,93/3703
gcr,mg,839.51,5.74,42.06,76.32,5/3694
