ksp_type,pc_type,response,min1,min5,min15,proc
gmres,icc,342.2,1.88,1.98,2.18,1/3453
fcg,icc,38.226,2.08,2.01,2.19,2/3455
tcqmr,icc,105.9,2.58,2.11,2.19,3/3453
cgs,icc,42.956,2.87,2.22,2.22,1/3452
bcgs,icc,39.106,2.35,2.16,2.2,1/3452
tfqmr,icc,43.266,2.12,2.12,2.19,1/3452
cr,icc,24.818,1.87,2.06,2.16,2/3452
gcr,icc,998.47,2.5,2.75,2.59,2/3454
cg,jacobi,36.632,1.99,2.59,2.54,5/3453
gmres,jacobi,227.81,1.85,2.22,2.4,1/3454
fcg,jacobi,68.61,1.7,2.1,2.34,1/3454
tcqmr,jacobi,233.64,2.1,2.09,2.28,1/3456
cgs,jacobi,65.992,2.06,2.08,2.26,3/3452
bcgs,jacobi,54.744,2.16,2.13,2.27,3/3453
tfqmr,jacobi,64.226,1.72,2.02,2.22,1/3452
cr,jacobi,35.037,2.34,2.14,2.26,1/3453
gcr,jacobi,1321.3,2.52,2.78,2.62,1/3452
cg,sor,34.017,2.17,2.66,2.58,2/3453
gmres,sor,501.72,3.04,2.42,2.41,3/3452
fcg,sor,47.098,2.7,2.43,2.41,2/3452
tcqmr,sor,127.26,2.84,2.58,2.47,2/3453
cgs,sor,49.85,2.87,2.63,2.49,3/3454
bcgs,sor,49.546,2.66,2.62,2.49,2/3455
tfqmr,sor,48.256,2.34,2.54,2.47,1/3457
cr,sor,33.272,2.05,2.43,2.44,2/3458
gcr,sor,1408.3,3.18,3.3,3.13,3/3456
cg,mg,43.358,2.51,3.11,3.07,1/3455
gmres,mg,483.55,94.41,50.01,21.96,88/3714
fcg,mg,88.483,97.21,62.68,29.06,91/3717
tcqmr,mg,318.32,99.75,86.95,49.77,100/3711
cgs,mg,125.39,99.8,91.48,56.13,86/3706
bcgs,mg,118.89,98.53,93.44,61.11,91/3708
tfqmr,mg,110.4,99.59,95.63,65.69,87/3712
cr,mg,74.094,99.11,96.43,68.3,84/3709
gcr,mg,971.99,101.38,100.89,89.22,86/3710
cg,icc,53.236,100.84,100.78,89.85,93/3709
gmres,icc,680.56,101.38,100.57,95.3,84/3711
